,%usr,%system,%CPU
count,286.0,286.0,286.0
mean,30.519825174825176,3.6851748251748253,34.205000000000005
std,2.3514433725355173,1.5074723136251806,2.4314444122423535
min,23.0,0.0,25.0
25%,29.0,3.0,33.0
50%,31.0,4.0,34.0
75%,32.0,5.0,36.0
max,39.0,7.0,44.0
