,%usr,%system,%CPU
count,2267.0,2267.0,2267.0
mean,29.04153947948831,29.13677547419497,58.17831495368328
std,3.6743065299815334,3.749053974741232,5.1897371381990265
min,16.0,19.0,40.0
25%,27.0,27.0,55.0
50%,29.0,29.0,58.0
75%,31.0,32.0,61.0
max,46.0,45.0,86.0
