,connect_duration,connect_duration,connect_duration,connect_duration,connect_duration,connect_duration,connect_duration,connect_duration
,count,mean,std,min,25%,50%,75%,max
name,,,,,,,,
https://site.totto.page/css/12k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/16k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/20k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/24k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/28k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/32k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/36k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/40k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/4k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/8k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/100k.jpeg,1000.0,0.012999999970197677,0.23779728194936592,0.0,0.0,0.0,0.0,4.699999988079071
https://site.totto.page/images/10k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/15k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/20k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/25k.jpeg,1000.0,0.007,0.22135943621178297,0.0,0.0,0.0,0.0,7.0
https://site.totto.page/images/30k.jpeg,1000.0,0.0655,0.6896777547067798,0.0,0.0,0.0,0.0,7.9000000059604645
https://site.totto.page/images/35k.jpeg,1000.0,0.03819999998807907,0.5409745032892789,0.0,0.0,0.0,0.0,8.099999994039536
https://site.totto.page/images/40k.jpeg,1000.0,0.019900000005960466,0.3654141726237067,0.0,0.0,0.0,0.0,7.699999988079071
https://site.totto.page/images/45k.jpeg,1000.0,0.015099999994039536,0.3374846452734928,0.0,0.0,0.0,0.0,7.5999999940395355
https://site.totto.page/images/50k.jpeg,1000.0,0.010900000005960465,0.2436196638304251,0.0,0.0,0.0,0.0,5.5
https://site.totto.page/images/55k.jpeg,1000.0,0.006300000011920929,0.19922349296758088,0.0,0.0,0.0,0.0,6.300000011920929
https://site.totto.page/images/5k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/60k.jpeg,1000.0,0.0125,0.2804503564423792,0.0,0.0,0.0,0.0,6.800000011920929
https://site.totto.page/images/65k.jpeg,1000.0,0.011900000005960464,0.26709498271967835,0.0,0.0,0.0,0.0,6.5
https://site.totto.page/images/70k.jpeg,1000.0,0.016400000035762786,0.29933366170491643,0.0,0.0,0.0,0.0,5.700000017881393
https://site.totto.page/images/75k.jpeg,1000.0,0.02680000001192093,0.3798763828651864,0.0,0.0,0.0,0.0,6.200000017881393
https://site.totto.page/images/80k.jpeg,1000.0,0.009900000005960464,0.2212712159529629,0.0,0.0,0.0,0.0,5.0
https://site.totto.page/images/85k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/90k.jpeg,1000.0,0.015600000023841858,0.28519813851062065,0.0,0.0,0.0,0.0,5.5
https://site.totto.page/images/95k.jpeg,1000.0,0.04190000000596046,0.4414626590060315,0.0,0.0,0.0,0.0,5.199999988079071
https://site.totto.page/js/10k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/12k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/14k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/16k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/18k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/20k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/22k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/24k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/26k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/28k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/2k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/30k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/32k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/34k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/36k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/38k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/40k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/4k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/6k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
