,%usr,%system,%CPU
count,2259.0,2259.0,2259.0
mean,35.58745462594068,43.657945993802564,79.24540061974324
std,4.286295651171951,4.934410280239562,6.95537196446431
min,22.0,29.0,55.0
25%,33.0,40.0,75.0
50%,35.0,44.0,79.0
75%,38.0,47.0,83.0
max,54.0,67.0,111.0
