,実験,リクエスト数,平均値,標準偏差,最小値,第1四分数,中央値,第3四分数,最大,filtered
0,../log-simple-reverse1-h2,1000.0,38.467,1.8757476987669366,32.0,38.0,39.0,40.0,43.0,False
0,../log-simple-reverse1-h3,999.0,39.84484484484484,1.9912008217092685,33.0,39.0,40.0,41.0,44.0,False
0,../log-single-reverse1-h2,1000.0,1501.983,38.7109448121361,1428.0,1475.0,1505.0,1530.0,1627.0,False
0,../log-single-reverse1-h3,1000.0,1436.136,2.9563904079542906,1425.0,1435.0,1436.0,1438.0,1444.0,False
1,../log-simple-reverse1-h2,998.0,38.47995991983968,1.8551074008809358,33.0,38.0,39.0,40.0,43.0,True
1,../log-simple-reverse1-h3,994.0,39.87927565392354,1.9359099435764828,34.0,39.0,40.0,41.0,44.0,True
1,../log-single-reverse1-h2,998.0,1501.7404809619238,38.367616639412304,1428.0,1475.0,1505.0,1530.0,1615.0,True
1,../log-single-reverse1-h3,992.0,1436.2137096774193,2.83745553864572,1428.0,1435.0,1437.0,1438.0,1444.0,True
