,%usr,%system,%CPU
count,285.0,285.0,285.0
mean,29.983859649122806,2.9963508771929828,32.980210526315794
std,2.4045919644387785,1.3726157368173832,2.441118702337699
min,25.0,0.0,26.0
25%,28.0,2.0,31.0
50%,30.0,3.0,33.0
75%,32.0,4.0,35.0
max,39.0,7.0,40.0
