実験,リクエスト数,平均値,標準偏差,最小値,第1四分数,中央値,第3四分数,最大
"実験1 Cloudflare
HTTP/2 /simple.html",986.0,109.00709939148074,15.843298325529814,83.0,99.0,104.0,115.0,186.0
"実験1 Cloudflare
HTTP/3 /simple.html",990.0,86.23939393939393,12.133161722468836,65.0,78.0,83.0,92.0,138.0
"実験1 Cloudflare
HTTP/2 /single.html",986.0,1418.2545638945232,11.620614645253339,1390.0,1409.0,1416.0,1426.0,1457.0
"実験1 Cloudflare
HTTP/3 /single.html",1000.0,1416.239,12.56780922948901,1385.0,1407.0,1415.0,1423.25,1452.0
"実験1 NGINX
HTTP/2 /simple.html",996.0,38.56024096385542,1.8380089572150367,33.0,38.0,39.0,40.0,43.0
"実験1 NGINX
HTTP/3 /simple.html",990.0,39.97878787878788,1.7933013614440547,35.0,39.0,40.0,41.0,44.0
"実験1 NGINX
HTTP/2 /single.html",1000.0,1533.724,44.74563661404314,1429.0,1500.0,1531.0,1565.25,1654.0
"実験1 NGINX
HTTP/3 /single.html",995.0,1436.1517587939697,2.629748636171753,1428.0,1435.0,1436.0,1438.0,1444.0
