,%usr,%system,%CPU
count,1895.0,1895.0,1895.0
mean,11.070031662269129,5.039277044854882,16.10930870712401
std,3.7166573301371435,1.942948954198928,4.895462890639242
min,1.0,0.99,3.0
25%,8.0,4.0,13.0
50%,11.0,5.0,16.0
75%,13.0,6.0,19.0
max,26.0,12.0,34.0
