,%usr,%system,%CPU
count,2264.0,2264.0,2264.0
mean,28.935499116607776,29.16336572438163,58.09886484098941
std,3.7275894644126613,3.7042604099590686,5.226096689023555
min,15.0,14.0,39.0
25%,26.9325,27.0,55.0
50%,29.0,29.0,58.0
75%,31.0,32.0,61.0
max,50.0,45.0,84.0
