,%usr,%system,%CPU
count,1815.0,1815.0,1815.0
mean,16.956595041322316,23.11555922865014,40.072154269972444
std,8.76923416168396,12.761079204036763,20.841345247060442
min,0.0,0.0,1.0
25%,11.0,14.0,25.0
50%,15.0,21.0,37.0
75%,22.0,30.0,51.0
max,56.0,80.0,127.0
